Compound Method,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x1,x2,x3,x4,x5
misoprostol,,1616,1388,625,1206,1409,1162,2143,,732,1415,,829,,1004,3227,855,518,724,1419,666,,275,1720,691,1334,697,2156,1274,1766,931,,424,877,1552,278,1631,1655,1697,
capecitabine_met_1,,,,,,,,2176,,1191,972,,3422,,,,,1792,,,866,,,,,3014,,,,,595,,2115,,3892,,2549,,,
hydrocortisone_met_1,7578,11877,8467,48106,16535,5092,28318,4661,21044,8057,,4490,41270,14953,10985,3276,,4165,9738,30246,2738,3988,24658,,3664,3939,1836,28346,4970,11263,25614,4714,24269,4336,12513,4577,5601,14630,51708,6138
risperidone_met_1,,,,,,,2583,3115,,,,337,,,,,,,,,,,,,,,,,,,63350,,,29306,,2534,790,,,3627
vorinostat_met_1,4367,46151,6003,42063,32490,24325,34630,28464,34174,32706,4822,33310,40510,36761,36166,4370,32768,35429,22340,36299,33878,33921,7682,28801,39072,23408,28311,23529,25833,25839,27421,24439,30236,25165,13915,15595,10725,14618,12541,12597
dolasetron,14297,,2596,3597,4131,22211,,,3084,7171,,,3606,9130,4837,5821,,7980,2370,2098,4074,,,2834,,,,,2405,1706,2644,6235,1679,2334,187,9922,9451,,,5720
nicardipine_met_1,2350,5135,3039,,,1542,2760,,1516,893,4482,,,,2589,4699,,,1874,824,1483,,4749,,2123,3163,,,2844,7084,440,6488,,2853,,,,1619,2250,
mycophenolate_mofetil_met_1,2858,650,619,1138,,538,691,1187,2028,,864,722,1973,,1242,602,864,1128,2231,1275,1757,1182,,839,,747,878,773,1795,1106,615,658,1513,1038,,1010,1260,931,542,571
mycophenolate_mofetil_met_2,,1669,3634,,2941,1033,2103,,1702,737,2602,,,3780,2706,,,1120,671,3236,563,1698,,1424,,452,,1297,,2904,,5160,,740,,3609,4908,3234,,4764
misoprostol_met_1,9953,11752,5641,7886,1184,1991,,2723,4398,3550,8002,10319,16981,,10915,,4869,,4254,3144,,9868,10040,2504,,2058,2341,,,4198,,2323,5907,2861,,2895,10254,2405,2832,6860
spironolactone_met_1,1571,3784,2334,2456,4962,,3144,615,516,2860,2751,2809,5252,,,2591,3878,3452,,,4758,,,1836,823,3217,6055,,,,5727,3493,3442,2300,1754,5805,3354,3788,5760,2488
digoxin,804,,945,595,532,1738,,,587,,596,,1129,,629,1042,699,1004,875,,,799,,1180,868,,,,,795,909,,,698,,,1144,726,,1125
lovastatin,4491,5722,1354,,1521,1610,6634,1593,3253,3878,2275,2075,,4047,1063,834,2225,752,1354,,,,398,653,2043,471,,,,2585,1782,3696,4486,1892,3476,,755,812,2483,2804
sulindac,,1113,1091,364,932,817,1239,418,1019,536,778,1327,1210,876,745,925,537,960,,1048,712,1974,1183,604,341,1871,1750,557,1389,946,1437,650,839,1239,1115,780,496,1030,652,857
lovastatin_met_1,18870,25800,30738,19188,15740,25771,28364,16805,17167,15685,15440,21801,20075,30557,20357,12148,15558,10557,6599,21977,7468,7418,18465,12460,10206,5058,21938,8580,5772,7309,9478,10282,10153,9614,16222,16125,18777,16966,13254,15129
sulfasalazine,,,551,,564,1027,479,,864,,480,,862,928,1088,670,,,,737,,,558,,835,,,,,,1263,786,,,,762,503,868,,558
clofazimine,1325,,1042,1409,853,,593,,525,762,497,,,,,,,,,329,594,583,,,658,,621,,,,,562,,,585,,,,1104,503
clonazepam_met_1,,2353,594,1687,4391,1284,1775,721,1527,4787,1272,6331,834,6662,1084,906,2026,941,5467,2540,5459,952,3178,1712,1162,3363,992,703,4905,663,510,1601,3700,498,521,1678,5118,1670,3812,3200
vorinostat,,,3502,,,4257,1784,3883,5709,938,2674,2489,,7586,,,9331,7880,4918,567,,,8100,3121,5776,6265,,5006,5144,10609,8099,17922,,8583,3129,1287,,,,4961
sulindac_met_1,,,,,,,,947,599,897,481,,462,,,1279,637,,1054,725,241,,,,,,,314,,989,647,457,773,,,,519,,910,789
clofazimine_met_1,5120,12127,31404,2473,3696,6425,4314,5100,9570,3986,7247,5301,2079,9773,2707,5377,11900,6139,3354,15872,12936,7671,4615,10281,12197,3837,6224,12765,4922,10220,6164,16558,3903,5015,8513,4763,,2983,3826,3638
sulindac_met_2,367,670,717,2441,655,831,509,2955,2727,608,592,927,3017,1793,4087,637,4209,,740,2507,702,,1162,1554,1019,656,2146,,,,617,556,719,937,622,2448,2985,579,815,1198
risperidone,,1660,,,2410,3317,5425,1332,12464,,1419,4542,2570,,4429,,5211,,,,6787,2756,1161,3602,2429,238,,,,,,2354,,,2144,1571,3122,4391,,
ketoconazole,1510,1233,,1507,516,821,,508,1566,2559,,1141,,,2329,520,1323,734,614,,590,,,1032,1546,1566,578,1074,1077,,,620,541,1066,1126,791,750,613,865,469
ketoprofen,2487,3823,,1669,,2294,,,,,,,1807,1397,465,1918,741,1427,2074,,401,,,,1945,,999,826,644,,,871,547,703,1480,,,,534,
levonorgestrel,5364,395,3304,3064,3246,,1340,,,481,2260,2369,,559,1907,3968,1591,,983,,,3794,1853,6477,,767,,,,5485,608,2187,1338,1332,,739,,298,2961,4612
praziquantel,2555,3586,1197,1298,1708,3415,,,,,,,1836,,1890,4252,1483,2034,1775,,2632,,,2252,5231,3253,2961,4293,3007,1556,733,2829,,1160,,547,3215,589,,1981
ropinirole,4451,675,522,644,,913,1282,,,829,,1216,654,570,,549,,540,,938,,,,487,,,566,,,496,,312,647,,,502,913,614,516,
clonazepam,,,,,,487,265,,867,,549,,817,,,,,711,491,,,,,,,,,,,,,,,,586,,,,,
torsemide,6164,,3947,10934,7124,3866,4545,18395,5409,5186,7571,15385,5377,,,,5159,,,5294,7549,5495,5336,15580,,1161,,11694,3470,5564,2432,1480,,3366,6153,7343,6614,9115,,
duloxetine,3440,1307,700,1353,1392,1314,1185,690,1127,745,1864,3348,,639,500,2669,762,1923,1385,3060,1403,536,3648,2102,1409,1132,4505,2137,2409,1807,533,387,1579,472,1412,1277,400,1075,2608,797
