Compound Method,BG-2X-P2-E1,MeOH-1,BG-2X-P2-A1,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-B1,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-C1,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-D1,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-F1,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-G1,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,BG-2X-P2-H10,MeOH-2,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-H11
misoprostol,,,,,,,,,,,,,,,,,,733916,700046,688601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,,
capecitabine_met_1,845,1378,,,957,561,,,,645,,,,627,812,,,,,802,454,,,586,,684,,,589,597,545,502,,,,732,908,,,,,,549,694,369,266,,1088,1180,,,,,,765,,787,,1022,,,,851,1129,808,,,,659,970,,773,797,
hydrocortisone_met_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
risperidone_met_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498624,472313,548952,,,,,,,,,,,,,,,,,,,
vorinostat_met_1,841,529,710,1322,,,,,499,911,577,,1051,902,,624,587,,564,724,775,,,545,,648,504,987,703,668,,1147,,,,,304,277,607,,558,,,544,878,,1312,691,,560,991,,,,343,,,,588,750,,11123,,,,,,,507,,,10122,10122,573
dolasetron,711,,766,1145,1564,1046,736,600,1130,481,297,1079,2297,1597,,745,2261,914,1093,1812,1513,1064,645,1652,1607,,5642,29693,1311,,1502,1840,1274,2116,956,935048,1065216,952197,1450,1774,794,778,755,1176,1109,1799,816,494,1347,927,1680,812,1681,2195,1553,834,1077,1556,696,3088,731,1762,948,865,1336,,812,2663,810,,645,1587,567,774
nicardipine_met_1,,,646,897,1024,,,,,,,580,6401,5597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mycophenolate_mofetil_met_1,,5343,,5116,1422,,2870,3042,656,,1427,,,,,704,362,2912,934,,158209,172604,172552,,,1223,935,1410,2747,1727,2856,1711,2483,5035,,1501,885,,2036,2382,,2170,339,1748,662,,,,1525,420,,973,,2071,1441,,,,,530,737,459,2434,1973,,1104,,1955,513,1730,2041,,640,1502
misoprostol_met_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spironolactone_met_1,,522,921,,,,,,,,,494,,,,,,783,,,,,,,665,753,,,,,,,,,,,1024,,,,,,,,,886,621,,,,751,,,,,484,752,,833,456,562,,,,,667,593,876,,,659,1170,,708
digoxin,571985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556091,574271,,,,,,,45142,,,,,,,,,,,,,,,,,,,,,,,,,,,
lovastatin,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,,,,,,,,,,57573,61652,55730,,,,,,,,,,,,,,,,397,,,,,,,,,564,,,,1037,483,
sulindac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,,,,,,,1070871,1044866,1076129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lovastatin_met_1,,,,,,,,,,,,,,,,,,1587,1825,1146,,,,,,,,,,,,,,,,,,,,,,708,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulfasalazine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92115,86899,82910,,,,,,,,,,,,,,,,,,,,,,
clofazimine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055762,6458580,7066221,5038,,,,,,,,,,,,,,,
clonazepam_met_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7996,7368,9451,,,,,,,,,
vorinostat,480,969,460,,,553,,,,572,677,557,,776,,560,,505,731,577,1197,521,,,,,,537,,778,548,487,,575,,,,,,,563,518,540,,,650,804,634,648,,,,,1940,,,701,,,,,1068370,557,,579,,,,,,949,1071365,1005687,4571
sulindac_met_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clofazimine_met_1,,480,,,,,,,,,,567,,,1051,,558,,,,,,,6690,6801,6534,,406,,986,830,1861,,,,469,,,,,,,,,,,,,,,,,,,,1718,1391,1658,,,,,,,524,,,,,,,735,,
sulindac_met_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
risperidone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4316,,,,,,,19903,,,,,,,9298904,9331961,10158692,,,,,,,,,,,,,,,,,,11616,
ketoconazole,,,,,,,,,3755309,3716681,3795784,2513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ketoprofen,,,,,,,,,,,,,,,,,,,,,,,,,,,391261,409504,428184,,,,,,,,,,,,,,,,,,,,531,573,,,,815,,,,,,,,,,,,,,,,,,,,
levonorgestrel,,1926,,522,1415,,1065,575,967,446,838,,1371,,671,,,,,,,565,,875,,,702,,,2824095,2787832,2796918,,675,537,,879,,,633,,611,,,647,,616,,,,,,,,605,494,,,,,,1048,,,513,322,,602,,673,563,,1262,
praziquantel,,,,593,,,,658,513,,,,671,,,,,,570,,,,,504,586,,,646,,,,,2744409,2977334,2926080,,,,,,,,,,,,,,,528,,,,,631,,,,,,,,,,,531,,,619,,554,,,
ropinirole,,,,,,,,,,,,,,,,551,,,,,,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,,5043,,,,,,,543,2906474,3359263,3112612,,,,,,,,,,,,,
clonazepam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538213,523335,525899,,,,,,,,,
torsemide,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,556,,,,,2261913,2301980,2220134,,,,,,
duloxetine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607134,609724,600198,,,,,,,,,5155,,,,,,,,,,,,,,,,
hydrocortisone_met_2,658,599,,,,,871,,,,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,,,,,,,,,,,,,,,,,,,
