Compound Method,x4,x1,x2,x3,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
misoprostol,,,,517,,591,,,,,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capecitabine_met_1,1614,2620,798,1997,645,587,670,1389,2360,1618,892,568,845,689,822,512,2898,702,1515,1064,1000,2432,500,515,637,,1181,580,593,1090,1177,1263,1994,1114,2098,3121,858,1092,857,2064
hydrocortisone_met_1,39456,18138,4107,24534,20550,6025,3548,12456,13073,32219,28235,15675,2918,5491,4028,16246,2897,4575,5924,4534,15010,3932,22359,5045,6080,4453,4065,3818,5374,9887,17474,14145,3053,16345,3621,17960,3524,22794,3569,4301
risperidone_met_1,920,,,,3047,3488,1108,,1505,1042,4859,,816,797,612,,1215,,578,573,,1418,1098,1432,495,733,1208,1419,2725,1236,2488,,313,2383,,,1953,2579,2767,
vorinostat_met_1,1185,1854,1309,1232,,2903,3057,1900,2780,1422,1314,1075,1044,2302,1572,3205,916,740,1655,1281,2345,1257,1375,1204,1157,2016,2396,1037,1543,1622,1307,1098,2191,824,1323,1763,1353,942,1383,1012
dolasetron,,3653,1322,10946,14995,8583,7735,6718,7938,5424,10964,2001,8733,8531,8188,532,3008,2391,6715,4044,10707,780,6311,7704,7199,11674,5497,2291,5415,1106,8752,2497,5761,7665,,,4278,3645,11197,11035
nicardipine_met_1,1206,2855,,1053,902,2293,2253,552,1188,2530,2093,609,533,,1989,,1413,,919,,1792,931,,954,,554,,565,1493,879,1449,469,501,1203,2132,344,521,1259,491,707
mycophenolate_mofetil_met_1,,,616,,300,,,,,582,,,,,,,,,,,,,699,,,,,,,,,,,,,,,,701,
mycophenolate_mofetil_met_2,491,,317,741,347,,1325,615,,,288,,,,,,,,618,,,,,,,,,,,,,,,,,,,,,
misoprostol_met_1,,1387,2969,2749,799,2017,5407,1642,2798,826,4023,524,,,1150,855,501,1361,1054,1143,,1249,696,,,,1638,,1114,,,1199,1116,,1604,,512,794,1506,
spironolactone_met_1,1148,,1432,1472,615,2609,2667,975,1787,2752,2854,917,1283,4447,2815,934,519,522,,2835,618,,2005,538,,990,,,,803,576,618,605,633,774,638,573,653,794,
digoxin,1134,983,1178,601,937,470,,523,576,501,,,1344,1287,,,,,547,,,715,901,,868,636,,,780,,2179,,1233,,1166,588,529,834,964,
lovastatin,2386,1502,2727,2024,,,,3112,947,2465,3457,527,,898,954,599,,,452,,363,1143,,1501,561,666,1258,,,517,1057,623,,1143,,,,,716,625
sulindac,,494,,,,,,518,,,,,,,,,,695,,,,,,,,,,,,,,,581,,,,,,,486
duloxetine,,526,,506,606,1107,,906,562,735,,651,526,570,958,921,,649,,,,633,555,611,,,520,,,,1459,,1276,635,,914,502,,584,
sulfasalazine,620,,,,,,,,,,,,,,,,,,533,,,,,,,453,,,,,,,,,,,,,,
clofazimine,877,788,,521,542,,,1242,,,,,,,,,,549,,,,572,,,,,,,,,,,,,,,,,,
clonazepam_met_1,1364,1794,16486,858,9463,588,1539,9421,1076,11801,1750,10280,583,1705,771,9401,1288,1476,972,1331,1882,9084,,,21794,,2204,1489,1566,9626,,15881,1256,572,7326,588,1150,,957,10080
vorinostat,1556,,4089,609,2181,1866,,1102,,1529,841,1294,1279,518,1009,1282,695,553,,667,588,1055,838,,407,765,,547,1398,,1287,583,,530,1415,1237,1638,965,1442,701
sulindac_met_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clofazimine_met_1,817,1769,,1509,1341,4031,1730,964,1419,972,844,874,2027,2562,2806,794,1426,2825,728,,2158,1732,1607,1714,,2060,1138,1734,1565,1768,632,583,1254,2689,2170,,679,,1005,
duloxetine_met_1,,742,1234,620,2696,337,1314,696,1997,3495,2432,1426,,812,2149,1778,789,2798,,996,1051,956,1044,1182,1333,910,1598,1892,583,1380,1333,990,540,859,,2530,1557,1151,1375,514
risperidone,1123,1368,,392,1168,365,541,,2575,2763,,,6007,,730,,,,,756,504,605,1621,,,353,578,,534,630,6939,478,994,,1251,,,607,626,
ketoconazole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ketoprofen,734,591,,551,579,919,608,,,548,,,,,,,,,,860,,,621,,,,,,,,,,,,,,,,,977
levonorgestrel,1350,,1881,1276,,792,1887,1235,1396,,3196,782,781,,1168,957,1231,,,822,997,1875,1594,725,1393,698,674,1122,1007,595,1894,605,759,813,1023,2391,961,543,,1986
praziquantel,1442,2026,1731,1613,,728,574,754,1175,1034,629,522,,,,,,1171,,,,,,,,,,,,,708,306,,,,,,,,
ropinirole,635,,,,,,,,,,,,,,,,,,,498,,504,,494,,,,,,853,,,,,,660,,,,
clonazepam,,1436,1083,,,,1788,,,,1234,858,,498,,,639,,,,591,,,804,582,3218,,1072,3587,,1241,,,,,2556,,,,
torsemide,6532,1390,1429,2815,,,6617,,,4543,969,924,740,842,,1972,,646,,1216,1852,949,886,,582,,658,470,617,780,,611,,,,732,843,530,1038,648
clofazimine_met_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
