Compound Method,Path1_3,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,MeOH-2,x21,x22,x23,x24,x25,x26,x28,x29,x30,x31,x32,x33,x34,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,MeOH-3,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,Path1_1,Path1_2,Path1_4,x27,Path1_4-R
misoprostol,518,,639,969,566,329,,,871,,475,,1017,621,,746,1160,581,,,647,,541,,,,955,,612,594,,,,481,541,800,,,,,,,,,,,,,908,631,,,,
capecitabine_met_1,4947,,,,,,4161,5454,7557,3041,,12207,18861,15777,11616,,,3941,1971,,12143,4493,11862,11213,,,,18728,13233,10254,5146,3585,7410,7804,6499,9017,,5992,42118,40565,39205,3581,3597,,,38720,,46118,52679,9660,6641,10103,,4518
hydrocortisone_met_1,1201609,11168,5278,8552,1781030,5118,4446,6292,6186,4994,4760,2614,5306,7099,,4553,5755,5725,3895,,2333,558,9073,,3327,21063,4351,10820,7371,6541,4868,8096,16899,2663,1927,4146,6474,2008026,7670,3854,5862,,7821,12792,8060,4390,4334,5990,2568,1940937,2083098,9279,8347,9239
risperidone_met_1,,5374,90344,9963,29949,18967,14901,5694,5454,3289,,11147,6801,22672,23527,4778,4428,4778,4692,19019,,,6759,8254,6228,4036,18838,19323,4024,18251,,5488,6733,471,728,25006,1673,29586,15448,24895,2425,,27747,48505,29676,24627,23664,19383,2132,11953,1991,580,20460,32985
vorinostat_met_1,5605,19471,7946,8925,11924,,14242,10174,18772,5560,14731,12830,19367,10344,8463,13209,8109,5958,10783,9462,14357,,13836,11043,7591,7528,14406,8713,12444,12353,10714,6860,8601,1792,1361,89398,63144,53445,53354,34285,72408,,72296,41708,63833,57594,61473,82313,,16495,20486,3074,6186,18311
dolasetron,4925,36179,28656,31414,19369,15229,24552,22430,30591,19636,6590,19696,26776,26550,26819,29007,29071,24131,23867,22457,20724,2739,22425,15752,22143,13481,21263,18773,17281,20294,20727,25115,21054,7039,10396,12687,15680,12823,18540,20141,15310,1662,14461,17914,16615,20441,19315,22132,3270,,,22546,18865,21402
nicardipine_met_1,,2942,,,,,,,2915,1577,,,,,497,655,2498,,646,,1618,,,,,2408,3902,,,571,,,,,531,3210,1510,,500,2021,584,,,1752,1200,,1734,1183,526,2075,469,,2013,
mycophenolate_mofetil_met_1,,2458,2327,2241,1471,2701,2926,3122,1869,1701,1696,903,2966,2411,782,1595,1098,3302,3122,3103,3006,539,1133,1386,1944,4944,3425,1074,2552,504,790,3117,2186,1279,1645,1361,623,777,1677,1208,736,,1657,861,508,1094,,2563,1850,,982,864,549,2779
mycophenolate_mofetil_met_2,330,1092,1016,1510,,599,,576,876,744,670,2117,817,1067,1066,729,4179,462,1726,,1559,591,550,,2147,886,,1566,635,717,,1218,,,,544,,606,1222,,2950,,608,1156,653,654,657,973,,496,1026,1585,695,2480
misoprostol_met_1,,,24875,14053,23343,7220,15053,25343,8807,12643,12886,2260,6505,12032,13756,5431,13881,10434,9674,,6595,,7718,6555,18518,6876,7931,23330,7825,10217,14311,19270,10055,538,,784,,,,,359,,677,1615,746,526,484,272,,8210,742,15279,,3061
spironolactone_met_1,,5637,6672,,4606,4882,4997,9628,1885,1373,2747,580,1336,4514,1126,5043,577,1107,630,531,681,,952,7197,1107,3410,592,3853,3708,4291,3777,2326,3198,,2505,3611,6044,831,4796,4382,803,477,1757,2454,4036,933,554,298,2707,526,,1752,2772,1473
digoxin,,1209,1463,,,,628,,,,674,1492,,,,591,,929,,,,,549,734,,,784,,,,,,,,,,,875,1129,,,,1692,,,,,,,,,,,
lovastatin,1945,3143,1014,1116,1897,1899,428,880,2643,673,2294,3461,2285,1850,2389,1295,1517,891,1488,1813,1442,,2349,2536,766,,2994,977,1360,745,3179,2171,3024,1869,1260,2259,,2170,652,405,,,525,2104,,2350,2016,1290,4371,2567,628,1353,1775,2659
sulindac,,1335,1811,867,697,483,,543,521,520,527,925,1311,1881,,,1529,1145,564,905,1087,,571,683,878,,606,1229,677,885,,1329,,,836,694,,512,1575,,1983,,1319,880,810,1864,335,2063,,2828,2645,,,2011
lovastatin_met_1,2148,21993,20499,25444,29796,17629,17802,25924,14131,13507,25565,5019,30164,20102,26214,23553,23723,20842,13767,20846,13832,,13109,16364,18072,8760,17498,13710,16756,15486,13268,20282,26558,,,,917,613,,621,,,,634,,,,,,3714,1131,8515,10365,12195
sulfasalazine,,,,,,,,794,,,,483,,,,,499,,,,,,,,,,516,,,,,,,,,,,,,,504,,585,577,,481,,,,,,,,
clofazimine,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,,,,,,,,,,,,,,,,,,,,,,,,,,
clonazepam_met_1,1540,,,2280,,,2573,2216,2590,1122,1939,,,,3346,,3401,680,2273,2659,,,,,,,,2373,,2235,3414,,,1498,825,,2249,,1889,,,,,,1479,3259,3101,2153,1371,1772,503,,,
vorinostat,3580,,15809,5111,2317,,,7793,13655,1843,3294,3194,3754,4177,1713,8032,4354,,,6814,6421,578,,2708,4223,2127,1532,3944,2255,555,,7149,,4958,6141,2129,5433,2501,3436,1705,3755,,1541,2894,4363,2473,2836,4454,586,,2157,2335,1529,
sulindac_met_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,,,,,,,,,,,,,,,,,,,,,,,,,
clofazimine_met_1,9288,,2974,4526,2736,1304,5026,8115,2887,4692,3467,5046,6504,2280,6524,1665,8938,6502,3187,2028,2453,,6692,7601,4113,5632,6018,3820,9913,3862,4417,4856,10455,5603,3993,3296,2403,2434,6370,3813,1998,,3282,4717,5486,2101,5185,6203,3286,3025,7994,2894,2755,3697
sulindac_met_2,,561,,671,,620,,,507,,,,,560,920,521,954,1057,1077,487,,,,,625,632,789,,1050,968,541,929,,,579,577,489,719,,,,,651,,,,,,,,,,,608
risperidone,2542,,,1082,,2491,993,2062,605,2258,,6864,,4795,4356,,1089,865,,1899,,,2423,4162,,,1664,,1092,550,3935,,1653,582,,,2879,2932,5694,2647,999,,1262,1774,,1102,2669,,622,996,847,581,1737,1363
ketoconazole,518,1606,1096,552,821,752,627,557,960,,252,,995,421,624,463,644,,1244,588,682,,944,570,499,,650,888,798,489,,736,503,,,,693,1647,,509,346,,,,,622,,591,,,,894,,
ketoprofen,683,597,,589,,,,656,,,877,537,,1103,944,946,1484,580,632,,,,913,,,,,521,,1666,1372,502,457,857,840,610,1280,1259,,496,487,,,698,884,559,802,,842,,570,,1544,
levonorgestrel,1075,951,1121,,1689,516,1437,1179,1221,639,733,1529,,2120,588,896,1420,2105,782,699,282,,487,1526,720,1123,3715,1760,244,1033,1098,1044,2709,2246,1512,558,1410,565,,,952,692,,740,1135,902,1253,749,,1631,967,487,247,941
praziquantel,,1366,3229,3139,,2137,1377,1295,1525,2396,1659,1032,1191,,,854,,2684,656,1054,1158,,604,1946,977,1818,930,2819,1680,1132,1209,,2412,1214,830,721,507,461,,,387,,,,772,1135,275,526,815,,,745,901,555
ropinirole,1175,773,356,694,778,,588,,687,520,562,,765,,,804,650,,680,,663,,1420,,,,,682,,,,,1196,,,,,832,,,,,,,528,,,,,,,1183,,
clonazepam,,,,,,,,,,,,,547,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,,,,,,,
torsemide,1711,1518,1227,9049,727,,978,2166,2607,4716,3206,2478,,2859,,5009,1595,2785,,4870,2904,,,,1221,590,645,980,,2217,,1557,,,1290,7649,1427,2660,3246,8078,5392,,1178,2072,2112,5180,2364,2821,1942,2384,1027,464,2067,
duloxetine,,640,1195,2571,764,1822,,,1059,1040,562,2797,1339,1952,701,805,1136,1984,,1172,,,1292,1717,522,1085,2187,1142,2212,,952,1613,628,543,1927,645,,733,888,672,1131,,780,877,525,979,524,816,,,,,,
