Compound Method,x14,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
capecitabine_met_1,1518,,2411,1432,1592,,2888,1458,,,,1283,,,,,,,2342,718,1172,1359,,1659,,,2191,,,,,,3497,1934,2339,,,1484,2459,
hydrocortisone_met_1,300109,102258,11816,95359,14375,6538,11333,163542,31787,100175,46942,64490,116348,170251,134722,9895,7399,74667,75218,33884,59830,169194,190933,256724,5482,17873,8394,166246,62595,100302,,89546,78999,9974,129582,55319,54284,142708,13995,123684
risperidone_met_1,4160,3084,,3337,1996,,5861,11557,,2353,2158,,,,,,3805,,2957,16190,22652,18853,5631,4644,4478,5658,16946,,5146,3901,19288,17326,,,17124,5567,,16846,4604,2908
vorinostat_met_1,91288,115311,94879,112154,117705,90490,100824,56246,103182,104189,63663,89644,101507,95164,90721,85959,59235,57416,63105,72088,72904,48449,8510,74713,65494,64809,68769,62452,65452,41934,62664,64060,58880,59874,58910,4105,51696,63973,52041,54810
dolasetron,9278,10476,7940,19117,8683,7235,2603,2501,16699,24240,13181,7956,9907,10076,9350,8695,8215,3931,12425,2398,9482,16732,5835,11643,3966,5971,5481,13395,9697,8633,12240,1973,11319,8702,9853,2056,9462,8148,9738,10924
nicardipine_met_1,1808,,2454,3251,2741,,,,2183,,2548,1655,2844,1761,,1523,1063,,3121,2736,3403,,3159,2208,4724,1169,,1966,1050,4372,2238,3180,2495,3336,5414,,2109,1116,4065,
mycophenolate_mofetil_met_1,698,709,504,850,821,557,519,513,,651,930,,,672,534,,,712,523,,,1286,,,523,,,914,661,699,,,762,,572,580,1451,574,,
mycophenolate_mofetil_met_2,,1055,656,1005,814,614,1087,1012,789,1833,1624,,339,780,1051,990,711,491,1511,,1090,904,530,,1211,810,707,541,1178,758,895,1234,494,626,634,1704,727,437,525,983
misoprostol_met_1,5871,3145,8662,4241,4507,4249,18002,3252,6478,10310,7066,6842,9964,6393,6699,5517,9957,21490,15758,8470,18884,10735,15377,11105,8290,10921,7613,13671,9608,18580,7921,16630,13523,7027,8094,5389,8601,7600,8729,9978
spironolactone_met_1,2935,2386,3585,1436,2672,3113,4134,298,872,1881,,1206,2706,5093,807,1023,1284,520,795,3832,2732,5969,2339,1971,993,1621,3122,4387,1541,1516,924,3227,2615,1666,4525,3337,2729,686,2279,2050
digoxin,555,800,,,,,1022,,,637,516,500,,,,,,,822,463,1069,899,520,,554,,515,750,,936,,470,,,641,,,911,1066,540
lovastatin,1310,,658,1406,1196,763,3141,,,,1520,508,522,984,1242,,576,1858,,648,,1635,1901,452,1132,889,723,1122,1388,1426,628,,1053,2013,1119,847,1060,824,2453,999
sulindac,885,662,871,,,1277,517,,,774,,,,,,309,,,575,543,546,571,,,527,669,,,,,,647,543,,,520,,,,
duloxetine,2151,292,,,292,621,609,1025,,940,2999,580,3678,3323,773,675,638,647,507,2506,1624,1166,495,1832,,575,787,2228,1349,3346,3579,,1923,571,,,3373,3828,2374,600
sulfasalazine,4566,3949,5524,3329,5550,3504,4799,3544,3367,4421,3455,3612,4234,778,3840,5326,3119,3505,2929,3757,1448,7589,2210,1967,2895,1995,4577,3110,2689,3988,4319,4466,3489,3102,3340,3507,5049,3798,3666,4106
clofazimine,,489,,,,,,,,,,,,,,,,,575,,,516,,,,,,,,522,,,,,,,923,485,1256,
clonazepam_met_1,8893,3599,743,7384,1773,630,634,570,1406,596,585,2682,5063,822,3748,3207,535,6473,1408,771,979,8818,6831,904,5447,845,1046,621,5468,6334,811,6580,4057,3584,10777,6376,1982,581,605,1963
vorinostat,2742,4463,4906,2764,6010,3540,1845,1177,4854,5026,3657,6477,6297,4140,3442,3260,5237,3750,4621,4015,,6055,5761,6939,5432,6364,7050,3813,2393,6787,8706,1247,5105,4546,4112,2522,4973,5235,4747,4584
sulindac_met_1,,594,,,,,,,,,,,599,,,,,,,,,,,518,,,,,,,,,,,,,,,,
clofazimine_met_1,2973,1878,2352,835,856,,2510,457,,,1985,4569,5232,5976,3833,5730,2141,5827,6851,4003,7344,6795,7638,3624,5024,4663,6827,7199,11727,8013,8986,6079,5379,3049,6638,6682,3200,9933,5486,5607
duloxetine_met_1,9125,13634,10103,8307,9113,15105,10308,10947,9804,11399,9658,13120,7960,7164,7089,8378,12534,10100,11214,7888,12395,10167,10875,6865,5943,6306,9523,5090,7242,10778,12607,10215,7108,11381,7920,12129,9087,10451,6881,8753
risperidone,,1277,400,1552,,,,,,,461,807,,,2314,,3672,1538,,,,1673,2052,,767,,,,2018,546,1944,1032,712,,,,3467,5792,827,2347
ketoconazole,,637,705,1163,779,1246,1626,,,658,558,510,577,,1047,621,558,1085,1538,,767,2343,1084,637,598,1057,855,570,768,552,927,546,1252,1038,642,1031,1151,994,514,409
ketoprofen,,,,502,,,,,,806,,,,,,,,,,,,,573,,476,,,,546,517,,,,501,,,,,,
levonorgestrel,623,2410,645,,909,,895,535,665,,1054,621,359,,875,1047,420,872,842,1570,1262,633,1099,418,704,,782,562,771,561,1222,,841,620,720,1758,396,1115,709,442
praziquantel,632,561,893,1216,,774,,,,,1200,,,864,954,626,656,476,269,907,575,1119,,786,918,617,564,535,673,,775,,830,290,660,,550,497,560,621
ropinirole,,991,,944,620,1491,467,1620,1243,531,,974,1150,1798,710,1615,626,498,2876,520,1170,865,1914,566,,1671,2052,1433,2655,1409,,2378,1328,1495,1532,1145,1135,1414,1380,1368
clonazepam,,,,,555,,,590,,,,870,,513,503,1280,,,,,644,,,,,514,,490,,,,513,,,,,,,,
torsemide,872,1039,,,,1618,2036,4622,740,780,3007,1641,838,1629,1069,1569,,,2708,1966,3756,6492,3544,2113,3008,1198,1813,1027,622,,630,1477,1629,3167,,1428,1370,,,
clofazimine_met_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
