structural_class,name,description,SMARTS
"hydroxyl (includes alcohol, phenol)",Phenol,,"[OX2H][cX3]:[c]
"
peroxide,Peroxide groups.,Also hits anions.,"[OX2,OX1-][OX2,OX1-]
"
phosphoric compounds,Phosphoric_acid groups.,"Hits both depiction forms. Hits orthophosphoric acid and polyphosphoric acid anhydrides. Doesn't hit monophosphoric acid anhydride esters (including acidic mono- & di- esters) but will hit some polyphosphoric acid anhydride esters (mono- esters on pyrophosphoric acid and longer, di- esters on linear triphosphoric acid and longer).","[$(P(=[OX1])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)]),$([P+]([OX1-])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)])]
"
phosphoric compounds,Phosphoric_ester groups.,Hits both depiction forms. Doesn't hit non-ester phosphoric_acid groups.,"[$(P(=[OX1])([OX2][#6])([$([OX2H]),$([OX1-]),$([OX2][#6])])[$([OX2H]),$([OX1-]),$([OX2][#6]),$([OX2]P)]),$([P+]([OX1-])([OX2][#6])([$([OX2H]),$([OX1-]),$([OX2][#6])])[$([OX2H]),$([OX1-]),$([OX2][#6]),$([OX2]P)])]
"
"thio groups ( thio-, thi-, sulpho-, mercapto- )",Carbo-Thiocarboxylate,,"[S-][CX3](=S)[#6]
"
"thio groups ( thio-, thi-, sulpho-, mercapto- )",Carbo-Thioester,,"S([#6])[CX3](=O)[#6]
"
"thio groups ( thio-, thi-, sulpho-, mercapto- )",Thio analog of carbonyl,Where S replaces O. Not a thioamide.,"[#6X3](=[SX1])([!N])[!N]
"
"thio groups ( thio-, thi-, sulpho-, mercapto- )",Thiol,,"[#16X2H]
"
"thio groups ( thio-, thi-, sulpho-, mercapto- )",Sulfur with at-least one hydrogen.,,"[#16!H0]
"
"thio groups ( thio-, thi-, sulpho-, mercapto- )",Thioamide,,"[NX3][CX3]=[SX1]
"
sulfide,Mono-sulfide,alkylthio- or alkoxy- Won't hit thiols. Won't hit disulfides.,"[#16X2H0][!#16]
"
sulfide,Di-sulfide,Won't hit thiols. Won't hit mono-sulfides.,"[#16X2H0][#16X2H0]
"
sulfinate,Sulfinate,Won't hit Sulfinic Acid. Hits Both Depiction Forms.,"[$([#16X3](=[OX1])[OX2H0]),$([#16X3+]([OX1-])[OX2H0])]
"
sulfinate,Sulfinic Acid,Won't hit substituted Sulfinates. Hits Both Depiction Forms. Hits acid and conjugate base (sulfinate).,"[$([#16X3](=[OX1])[OX2H,OX1H0-]),$([#16X3+]([OX1-])[OX2H,OX1H0-])]
"
sulfone,Sulfone. Low specificity.,"Hits all sulfones, including heteroatom-substituted sulfones: sulfonic acid, sulfonate, sulfuric acid mono- & di- esters, sulfamic acid, sulfamate, sulfonamide... Hits Both Depiction Forms.","[$([#16X4](=[OX1])=[OX1]),$([#16X4+2]([OX1-])[OX1-])]
"
sulfone,Sulfone. High specificity.,Only hits carbo- sulfones (Won't hit herteroatom-substituted molecules). Hits Both Depiction Forms.,"[$([#16X4](=[OX1])(=[OX1])([#6])[#6]),$([#16X4+2]([OX1-])([OX1-])([#6])[#6])]
"
sulfone,Sulfonic acid. High specificity.,Only hits carbo- sulfonic acids (Won't hit herteroatom-substituted molecules). Hits acid and conjugate base. Hits Both Depiction Forms. Hits Arene sulfonic acids.,"[$([#16X4](=[OX1])(=[OX1])([#6])[OX2H,OX1H0-]),$([#16X4+2]([OX1-])([OX1-])([#6])[OX2H,OX1H0-])]
"
sulfone,Sulfonate,(sulfonic ester) Only hits carbon-substituted sulfur (Oxygen may be herteroatom-substituted). Hits Both Depiction Forms.,"[$([#16X4](=[OX1])(=[OX1])([#6])[OX2H0]),$([#16X4+2]([OX1-])([OX1-])([#6])[OX2H0])]
"
sulfone,Carbo-azosulfone,Partial N-Analog of Sulfone,"[SX4](C)(C)(=O)=N
"
sulfone,Sulfonamide,(sulf drugs) Won't hit sulfamic acid or sulfamate. Hits Both Depiction Forms.,"[$([SX4](=[OX1])(=[OX1])([!O])[NX3]),$([SX4+2]([OX1-])([OX1-])([!O])[NX3])]
"
sulfoxide,Sulfoxide Low specificity.,"( sulfinyl, thionyl ) Analog of carbonyl where S replaces C. Hits all sulfoxides, including heteroatom-substituted sulfoxides, dialkylsulfoxides carbo-sulfoxides, sulfinate, sulfinic acids... Hits Both Depiction Forms. Won't hit sulfones.","[$([#16X3]=[OX1]),$([#16X3+][OX1-])]
"
sulfoxide,Sulfoxide High specificity,"(sulfinyl , thionyl) Analog of carbonyl where S replaces C. Only hits carbo-sulfoxides (Won't hit herteroatom-substituted molecules). Hits Both Depiction Forms. Won't hit sulfones.","[$([#16X3](=[OX1])([#6])[#6]),$([#16X3+]([OX1-])([#6])[#6])]
"
sulfate,Sulfate,(sulfuric acid monoester) Only hits when oxygen is carbon-substituted. Hits acid and conjugate base. Hits Both Depiction Forms.,"[$([#16X4](=[OX1])(=[OX1])([OX2H,OX1H0-])[OX2][#6]),$([#16X4+2]([OX1-])([OX1-])([OX2H,OX1H0-])[OX2][#6])]
"
sulfate,Sulfuric acid ester sulfate ester Low specificity.,"Hits sulfuric acid, sulfuric acid monoesters (sulfuric acids) and diesters (sulfates). Hits acid and conjugate base. Hits Both Depiction Forms.","[$([SX4](=O)(=O)(O)O),$([SX4+2]([O-])([O-])(O)O)]
"
sulfate,Sulfuric Acid Diester.,Only hits when oxygen is carbon-substituted. Hits Both Depiction Forms.,"[$([#16X4](=[OX1])(=[OX1])([OX2][#6])[OX2][#6]),$([#16X4](=[OX1])(=[OX1])([OX2][#6])[OX2][#6])]
"
sulfamate,Sulfamic Acid.,Hits acid and conjugate base. Hits Both Depiction Forms.,"[$([#16X4]([NX3])(=[OX1])(=[OX1])[OX2H,OX1H0-]),$([#16X4+2]([NX3])([OX1-])([OX1-])[OX2H,OX1H0-])]
"
sulfene,Sulfenic acid.,Hits acid and conjugate base.,"[#16X2][OX2H,OX1H0-]
"
sulfene,Sulfenate.,,"[#16X2][OX2H0]
"
halide (-halo -fluoro -chloro -bromo -iodo),Any carbon attached to any halogen,,"[#6][F,Cl,Br,I]
"
halide (-halo -fluoro -chloro -bromo -iodo),Halogen,,"[F,Cl,Br,I]
"
Chains & Branching,Unbranched_alkane groups.,Only hits alkanes (single-bond chains). Only hits chains of at-least 4 members. All non-(implicit-hydrogen) atoms count as branches (e.g. halide substituted chains count as branched).,"[R0;D2][R0;D2][R0;D2][R0;D2]
"
Cyclic Features,Macrocycle groups.,,"[r;!r3;!r4;!r5;!r6;!r7]
"
Cyclic Features,S in aromatic 5-ring with lone pair,,"[sX2r5]
"
Cyclic Features,Aromatic 5-Ring O with Lone Pair,,"[oX2r5]
"
Cyclic Features,N in 5-sided aromatic ring,,"[nX2r5]
"
Cyclic Features,Spiro-ring center,rings size 4-6,"[X4;R2;r4,r5,r6](@[r4,r5,r6])(@[r4,r5,r6])(@[r4,r5,r6])@[r4,r5,r6]
"
Cyclic Features,N in 5-ring arom,anion,"[$([nX2r5]:[a-]),$([nX2r5]:[a]:[a-])]
"
Cyclic Features,CIS or TRANS double or aromatic bond in a ring,,"*/,\[R]=,:;@[R]/,\*
"
