,+group/+mod,+group,-group/+mod,-group,prop_group,prop_nongroup,direction,p_val,corrected_p_val,structural_class,SMARTS
Para,31,248,12,164,0.125,0.07317073170731707,enriched,0.0921202664838026,0.4365699585536732,Cyclic Features,"*-!:aaaa-!:*
"
Hydroxyl_acidic,6,101,37,311,0.0594059405940594,0.1189710610932476,depleted,0.08892107917681492,0.4365699585536732,"hydroxyl (includes alcohol, phenol)","[$([OH]-*=[!#6])]
"
Sulfoxide High specificity,2,7,41,405,0.2857142857142857,0.10123456790123457,enriched,0.11346679680909867,0.4417100304354198,sulfoxide,"[$([#16X3](=[OX1])([#6])[#6]),$([#16X3+]([OX1-])([#6])[#6])]
"
Glutamate or Glutamic acid side chain.,2,7,41,405,0.2857142857142857,0.10123456790123457,enriched,0.11346679680909867,0.4417100304354198,amino acid side chains,"[CH2X4][CH2X4][CX3](=[OX1])[OH0-,OH]
"
Sulfoxide Low specificity.,2,7,41,405,0.2857142857142857,0.10123456790123457,enriched,0.11346679680909867,0.4417100304354198,sulfoxide,"[$([#16X3]=[OX1]),$([#16X3+][OX1-])]
"
Fused benzene rings,2,7,41,405,0.2857142857142857,0.10123456790123457,enriched,0.11346679680909867,0.4417100304354198,Cyclic Features,"c12ccccc1cccc2
"
"Primary or secondary amine, not amide.",10,142,33,270,0.07042253521126761,0.12222222222222222,depleted,0.10217802065408493,0.4417100304354198,mine (-amino),"[NX3;H2,H1;!$(NC=O)]
"
Phenol,6,33,37,379,0.18181818181818182,0.09762532981530343,enriched,0.12920723837503972,0.46945296609597764,"hydroxyl (includes alcohol, phenol)","[OX2H][cX3]:[c]
"
Meta,29,233,14,179,0.12446351931330472,0.0782122905027933,enriched,0.1279965270959382,0.46945296609597764,Cyclic Features,"*-!:aaa-!:*
"
Carboxylic acid or conjugate base.,6,94,37,318,0.06382978723404255,0.11635220125786164,depleted,0.14339453252383097,0.4884376264092992,carbonyl,"[CX3](=O)[OX1H0-,OX2H1]
"
"Primary amine, not amide.",2,47,41,365,0.0425531914893617,0.11232876712328767,depleted,0.1408450284651112,0.4884376264092992,mine (-amino),"[NX3;H2;!$(NC=[!#6]);!$(NC#[!#6])][#6]
"
Other a.a.,0,16,43,396,0.0,0.10858585858585859,depleted,0.16368678474008402,0.49560720935192104,Amino Acids,"[$([NX3H2,NX4H3+]),$([NX3H](C)(C))][CX4H]([*])[CX3](=[OX1])[OX2H,OX1-,N]
"
A.A. Template for 20 standard a.a.s,0,17,43,395,0.0,0.10886075949367088,depleted,0.15058752140045017,0.49560720935192104,Amino Acids,"[$([$([NX3H,NX4H2+]),$([NX3](C)(C)(C))]1[CX4H]([CH2][CH2][CH2]1)[CX3](=[OX1])[OX2H,OX1-,N]),$([$([NX3H2,NX4H3+]),$([NX3H](C)(C))][CX4H2][CX3](=[OX1])[OX2H,OX1-,N]),$([$([NX3H2,NX4H3+]),$([NX3H](C)(C))][CX4H]([*])[CX3](=[OX1])[OX2H,OX1-,N])]
"
Lysine side chain.,0,16,43,396,0.0,0.10858585858585859,depleted,0.16368678474008402,0.49560720935192104,amino acid side chains,"[CH2X4][CH2X4][CH2X4][CH2X4][NX4+,NX3+0]
"
Amino Acid,0,16,43,396,0.0,0.10858585858585859,depleted,0.16368678474008402,0.49560720935192104,amino acids,"[$([NX3H2,NX4H3+]),$([NX3H](C)(C))][CX4H]([*])[CX3](=[OX1])[OX2H,OX1-,N]
"
Enol or Phenol,6,36,37,376,0.16666666666666666,0.09840425531914894,enriched,0.20063011158792698,0.5910454638671362,"hydroxyl (includes alcohol, phenol)","[OX2H][$(C=C),$(cc)]
"
Halogen,18,209,25,203,0.0861244019138756,0.12315270935960591,depleted,0.2190672041237557,0.6269863194800562,halide (-halo -fluoro -chloro -bromo -iodo),"[F,Cl,Br,I]
"
Carboxylate Ion.,0,12,43,400,0.0,0.1075,depleted,0.23008672274497477,0.6269863194800562,carbonyl,"[CX3](=O)[O-]
"
N in Any_standard_amino_acid.,0,12,43,400,0.0,0.1075,depleted,0.23008672274497477,0.6269863194800562,Amino Acids,"[$([$([NX3H,NX4H2+]),$([NX3](C)(C)(C))]1[CX4H]([CH2][CH2][CH2]1)[CX3](=[OX1])[OX2H,OX1-,N]),$([$([NX3H2,NX4H3+]),$([NX3H](C)(C))][CX4H2][CX3](=[OX1])[OX2H,OX1-,N]),$([$([NX3H2,NX4H3+]),$([NX3H](C)(C))][CX4H]([$([CH3X4]),$([CH2X4][CH2X4][CH2X4][NHX3][CH0X3](=[NH2X3+,NHX2+0])[NH2X3]),$([CH2X4][CX3](=[OX1])[NX3H2]),$([CH2X4][CX3](=[OX1])[OH0-,OH]),$([CH2X4][SX2H,SX1H0-]),$([CH2X4][CH2X4][CX3](=[OX1])[OH0-,OH]),$([CH2X4][#6X3]1:[$([#7X3H+,#7X2H0+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]:[$([#7X3H+,#7X2H0+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]1),$([CHX4]([CH3X4])[CH2X4][CH3X4]),$([CH2X4][CHX4]([CH3X4])[CH3X4]),$([CH2X4][CH2X4][CH2X4][CH2X4][NX4+,NX3+0]),$([CH2X4][CH2X4][SX2][CH3X4]),$([CH2X4][cX3]1[cX3H][cX3H][cX3H][cX3H][cX3H]1),$([CH2X4][OX2H]),$([CHX4]([CH3X4])[OX2H]),$([CH2X4][cX3]1[cX3H][nX3H][cX3]2[cX3H][cX3H][cX3H][cX3H][cX3]12),$([CH2X4][cX3]1[cX3H][cX3H][cX3]([OHX2,OH0X1-])[cX3H][cX3H]1),$([CHX4]([CH3X4])[CH3X4])])[CX3](=[OX1])[OX2H,OX1-,N])]
"
Sulfonic acid. High specificity.,0,11,43,401,0.0,0.10723192019950124,depleted,0.25113016169179214,0.636585758707101,sulfone,"[$([#16X4](=[OX1])(=[OX1])([#6])[OX2H,OX1H0-]),$([#16X4+2]([OX1-])([OX1-])([#6])[OX2H,OX1H0-])]
"
Sulfonic Acid. High specificity.,0,11,43,401,0.0,0.10723192019950124,depleted,0.25113016169179214,0.636585758707101,Acids & Bases,"[$([#16X4](=[OX1])(=[OX1])([#6])[OX2H,OX1H0-]),$([#16X4+2]([OX1-])([OX1-])([#6])[OX2H,OX1H0-])]
"
18_standard_aa_side_chains.,33,342,10,70,0.09649122807017543,0.14285714285714285,depleted,0.247676509282719,0.636585758707101,Amino Acids,"([$([CH3X4]),$([CH2X4][CH2X4][CH2X4][NHX3][CH0X3](=[NH2X3+,NHX2+0])[NH2X3]),$([CH2X4][CX3](=[OX1])[NX3H2]),$([CH2X4][CX3](=[OX1])[OH0-,OH]),$([CH2X4][SX2H,SX1H0-]),$([CH2X4][CH2X4][CX3](=[OX1])[OH0-,OH]),$([CH2X4][#6X3]1:[$([#7X3H+,#7X2H0+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]:[$([#7X3H+,#7X2H0+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]1),$([CHX4]([CH3X4])[CH2X4][CH3X4]),$([CH2X4][CHX4]([CH3X4])[CH3X4]),$([CH2X4][CH2X4][CH2X4][CH2X4][NX4+,NX3+0]),$([CH2X4][CH2X4][SX2][CH3X4]),$([CH2X4][cX3]1[cX3H][cX3H][cX3H][cX3H][cX3H]1),$([CH2X4][OX2H]),$([CHX4]([CH3X4])[OX2H]),$([CH2X4][cX3]1[cX3H][nX3H][cX3]2[cX3H][cX3H][cX3H][cX3H][cX3]12),$([CH2X4][cX3]1[cX3H][cX3H][cX3]([OHX2,OH0X1-])[cX3H][cX3H]1),$([CHX4]([CH3X4])[CH3X4])])
"
Carbonyl group. Low specificity,31,266,12,146,0.11654135338345864,0.0821917808219178,enriched,0.275366809127219,0.6669996043303749,carbonyl,"[CX3]=[OX1]
"
Carbonyl group,31,266,12,146,0.11654135338345864,0.0821917808219178,enriched,0.275366809127219,0.6669996043303749,carbonyl,"[$([CX3]=[OX1]),$([CX3+]-[OX1-])]
"
Hydroxyl in Carboxylic Acid,6,82,37,330,0.07317073170731707,0.11212121212121212,depleted,0.301851470723988,0.6854543814357227,"hydroxyl (includes alcohol, phenol)","[OX2H][CX3]=[OX1]
"
Phenylalanine side chain,1,24,42,388,0.041666666666666664,0.10824742268041238,depleted,0.30052305479580665,0.6854543814357227,amino acid side chains,"[CH2X4][cX3]1[cX3H][cX3H][cX3H][cX3H][cX3H]1
"
Carboxylic acid,6,82,37,330,0.07317073170731707,0.11212121212121212,depleted,0.301851470723988,0.6854543814357227,carbonyl,"[CX3](=O)[OX2H1]
"
Unbranched_alkane groups.,6,41,37,371,0.14634146341463414,0.09973045822102426,enriched,0.3542713850851855,0.7285958674393438,Chains & Branching,"[R0;D2][R0;D2][R0;D2][R0;D2]
"
Spiro-ring center,1,4,42,408,0.25,0.10294117647058823,enriched,0.33841106960204437,0.7285958674393438,Cyclic Features,"[X4;R2;r4,r5,r6](@[r4,r5,r6])(@[r4,r5,r6])(@[r4,r5,r6])@[r4,r5,r6]
"
"Thiol, Sulfide or Disulfide Sulfur",1,22,42,390,0.045454545454545456,0.1076923076923077,depleted,0.3529078253218545,0.7285958674393438,"thio groups ( thio-, thi-, sulpho-, mercapto- )","[SX2]
"
Sulfone. Low specificity.,4,58,39,354,0.06896551724137931,0.11016949152542373,depleted,0.3414093804973627,0.7285958674393438,sulfone,"[$([#16X4](=[OX1])=[OX1]),$([#16X4+2]([OX1-])[OX1-])]
"
Sulfone. High specificity.,1,4,42,408,0.25,0.10294117647058823,enriched,0.33841106960204437,0.7285958674393438,sulfone,"[$([#16X4](=[OX1])(=[OX1])([#6])[#6]),$([#16X4+2]([OX1-])([OX1-])([#6])[#6])]
"
Vinylic Carbon,11,84,32,328,0.13095238095238096,0.0975609756097561,enriched,0.3717900012543415,0.7504650025319114,alkene (-ene),"[$([CX3]=[CX3])]
"
Any sp2 carbon.,43,406,0,6,0.10591133004926108,0.0,enriched,0.39960327123995343,0.7509785614681883,Orbital Configuration,"[$([cX3](:*):*),$([cX2+](:*):*),$([CX3]=*),$([CX2+]=*)]
"
Valine side chain,5,34,38,378,0.14705882352941177,0.10052910052910052,enriched,0.3953271569994028,0.7509785614681883,amino acid side chains,"[CHX4]([CH3X4])[CH3X4]
"
Macrocycle groups.,2,11,41,401,0.18181818181818182,0.10224438902743142,enriched,0.39443164110967877,0.7509785614681883,Cyclic Features,"[r;!r3;!r4;!r5;!r6;!r7]
"
Acetylenic Carbon,0,6,43,406,0.0,0.10591133004926108,depleted,0.39960327123995343,0.7509785614681883,alkyne (-yne),"[$([CX2]#C)]
"
Unbranched_chain groups.,6,43,37,369,0.13953488372093023,0.1002710027100271,enriched,0.42546860477921,0.767154199420135,Chains & Branching,"[R0;D2]~[R0;D2]~[R0;D2]~[R0;D2]
"
N in 5-ring arom,0,4,43,408,0.0,0.1053921568627451,depleted,0.49266783448999496,0.767154199420135,Cyclic Features,"[$([nX2r5]:[a-]),$([nX2r5]:[a]:[a-])]
"
Sulfuric acid ester sulfate ester Low specificity.,0,5,43,407,0.0,0.10565110565110565,depleted,0.4424911453943342,0.767154199420135,sulfate,"[$([SX4](=O)(=O)(O)O),$([SX4+2]([O-])([O-])(O)O)]
"
Phosphoric_Acid,0,4,43,408,0.0,0.1053921568627451,depleted,0.49266783448999496,0.767154199420135,Acids & Bases,"[$(P(=[OX1])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)]),$([P+]([OX1-])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)])]
"
S double-bonded to Carbon,0,4,43,408,0.0,0.1053921568627451,depleted,0.49266783448999496,0.767154199420135,Connectivity,"[$([SX1]=[#6])]
"
Phosphoric_acid groups.,0,4,43,408,0.0,0.1053921568627451,depleted,0.49266783448999496,0.767154199420135,phosphoric compounds,"[$(P(=[OX1])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)]),$([P+]([OX1-])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)])]
"
Carbamic ester,1,18,42,394,0.05555555555555555,0.1065989847715736,depleted,0.48851764537228803,0.767154199420135,carbonyl,"[NX3][CX3](=[OX1])[OX2H0]
"
Mono-sulfide,3,41,40,371,0.07317073170731707,0.1078167115902965,depleted,0.4911090435271256,0.767154199420135,sulfide,"[#16X2H0][!#16]
"
Sulfide,3,41,40,371,0.07317073170731707,0.1078167115902965,depleted,0.4911090435271256,0.767154199420135,sulfide,"[#16X2H0]
"
Substituted dicarboximide,1,5,42,407,0.2,0.10319410319410319,enriched,0.481621976518232,0.767154199420135,imide,"[CX3](=[OX1])[NX3H0]([#6])[CX3](=[OX1])
"
Hydroxyl in H-O-P-,0,4,43,408,0.0,0.1053921568627451,depleted,0.49266783448999496,0.767154199420135,"hydroxyl (includes alcohol, phenol)","[OX2H]P
"
Carbamate.,1,18,42,394,0.05555555555555555,0.1065989847715736,depleted,0.48851764537228803,0.767154199420135,carbonyl,"[NX3,NX4+][CX3](=[OX1])[OX2,OX1-]
"
Isoleucine side chain,0,3,43,409,0.0,0.10513447432762836,depleted,0.5528942135322592,0.7834811743292688,amino acid side chains,"[CHX4]([CH3X4])[CH2X4][CH3X4]
"
Aspartate or Aspartic acid side chain.,4,29,39,383,0.13793103448275862,0.10182767624020887,enriched,0.5397954092928875,0.7834811743292688,amino acid side chains,"[CH2X4][CX3](=[OX1])[OH0-,OH]
"
Quaternary Nitrogen,0,3,43,409,0.0,0.10513447432762836,depleted,0.5528942135322592,0.7834811743292688,Connectivity,"[$([NX4+]),$([NX4]=*)]
"
Azole.,10,82,33,330,0.12195121951219512,0.1,enriched,0.560656253189752,0.7834811743292688,azo,"[$([nr5]:[nr5,or5,sr5]),$([nr5]:[cr5]:[nr5,or5,sr5])]
"
Atoms with 1 H,43,409,0,3,0.10513447432762836,0.0,enriched,0.5528942135322592,0.7834811743292688,Hydrogens,"[H,#1]
"
Carbonyl with Nitrogen.,13,143,30,269,0.09090909090909091,0.11152416356877323,depleted,0.5147084761062303,0.7834811743292688,carbonyl,"[OX1]=CN
"
Thio analog of carbonyl,0,3,43,409,0.0,0.10513447432762836,depleted,0.5528942135322592,0.7834811743292688,"thio groups ( thio-, thi-, sulpho-, mercapto- )","[#6X3](=[SX1])([!N])[!N]
"
Any carbon attached to any halogen,16,137,27,275,0.11678832116788321,0.09818181818181818,enriched,0.5605941212289016,0.7834811743292688,halide (-halo -fluoro -chloro -bromo -iodo),"[#6][F,Cl,Br,I]
"
Nitrogen on -N-C=N-,1,16,42,396,0.0625,0.10606060606060606,depleted,0.5763453834211103,0.7952107188974813,Chains & Branching,"[$([NX3]C=N)]
"
Aspargine side chain.,0,2,43,410,0.0,0.1048780487804878,depleted,0.628427500828336,0.7964953208173096,amino acid side chains,"[CH2X4][CX3](=[OX1])[NX3H2]
"
Proline,0,2,43,410,0.0,0.1048780487804878,depleted,0.628427500828336,0.7964953208173096,amino acid side chains,"[$([NX3H,NX4H2+]),$([NX3](C)(C)(C))]1[CX4H]([CH2][CH2][CH2]1)[CX3](=[OX1])[OX2H,OX1-,N]
"
Sulfonamide,3,38,40,374,0.07894736842105263,0.10695187165775401,depleted,0.590598947185845,0.7964953208173096,sulfone,"[$([SX4](=[OX1])(=[OX1])([!O])[NX3]),$([SX4+2]([OX1-])([OX1-])([!O])[NX3])]
"
Sulfonamide.,3,37,40,375,0.08108108108108109,0.10666666666666667,depleted,0.6272235380121167,0.7964953208173096,sulfone,"[$([#16X4]([NX3])(=[OX1])(=[OX1])[#6]),$([#16X4+2]([NX3])([OX1-])([OX1-])[#6])]
"
Threonine side chain,0,2,43,410,0.0,0.1048780487804878,depleted,0.628427500828336,0.7964953208173096,amino acid side chains,"[CHX4]([CH3X4])[OX2H]
"
Unsubstituted dicarboximide,1,6,42,406,0.16666666666666666,0.10344827586206896,enriched,0.6151146565341483,0.7964953208173096,imide,"[CX3](=[OX1])[NX3H][CX3](=[OX1])
"
Rotatable bond,42,397,1,15,0.10579345088161209,0.06666666666666667,enriched,0.6265861909609043,0.7964953208173096,Rotation,"[!$(*#*)&!D1]-!@[!$(*#*)&!D1]
"
Carbonyl with Oxygen.,17,150,26,262,0.11333333333333333,0.09923664122137404,enriched,0.652484615605839,0.8174807252992696,carbonyl,"[CX3](=[OX1])O
"
Ortho,23,233,20,179,0.09871244635193133,0.11173184357541899,depleted,0.6683261113733716,0.8278130243147444,Cyclic Features,"*-!:aa-!:*
"
Amide,11,116,32,296,0.09482758620689655,0.10810810810810811,depleted,0.6917038854112791,0.8285244341739497,carbonyl,"[NX3][CX3](=[OX1])[#6]
"
N in 5-sided aromatic ring,9,77,34,335,0.11688311688311688,0.10149253731343283,enriched,0.6903998461501752,0.8285244341739497,Cyclic Features,"[nX2r5]
"
Hydroxyl,20,204,23,208,0.09803921568627451,0.11057692307692307,depleted,0.6772889004816705,0.8285244341739497,"hydroxyl (includes alcohol, phenol)","[OX2H]
"
Long_chain groups.,6,51,37,361,0.11764705882352941,0.10249307479224377,enriched,0.7403918041375451,0.8772033331629611,Chains & Branching,"[AR0]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0]
"
Non-acid Oxygen,19,191,24,221,0.09947643979057591,0.1085972850678733,depleted,0.762682720379604,0.8938969518427617,"Single only, Double only, Single or Double","[OX2H0]
"
Alkyl Carbon,41,396,2,16,0.10353535353535354,0.125,depleted,0.7830729519471121,0.8984731764445812,alkane,"[CX4]
"
S in aromatic 5-ring with lone pair,2,23,41,389,0.08695652173913043,0.10539845758354756,depleted,0.7786408610313778,0.8984731764445812,Cyclic Features,"[sX2r5]
"
CIS or TRANS double or aromatic bond in a ring,27,252,16,160,0.10714285714285714,0.1,enriched,0.8172232753119071,0.9089524184591619,Cyclic Features,"*/,\[R]=,:;@[R]/,\*
"
Ether,19,189,24,223,0.10052910052910052,0.10762331838565023,depleted,0.8144516707340184,0.9089524184591619,ether,"[OD2]([#6])[#6]
"
Hydroxyl in Alcohol,19,189,24,223,0.10052910052910052,0.10762331838565023,depleted,0.8144516707340184,0.9089524184591619,"hydroxyl (includes alcohol, phenol)","[#6][OX2H]
"
Serine side chain,2,22,41,390,0.09090909090909091,0.10512820512820513,depleted,0.8319235583887238,0.9159562410542514,amino acid side chains,"[CH2X4][OX2H]
"
Hydrazine H2NNH2,1,8,42,404,0.125,0.10396039603960396,enriched,0.8471616988085819,0.9234062517013543,hydrazine,"[NX3][NX3]
"
Unfused benzene ring,23,222,20,190,0.1036036036036036,0.10526315789473684,depleted,0.9562006445947739,0.9724334735979335,Cyclic Features,"[cR1]1[cR1][cR1][cR1][cR1][cR1]1
"
Divalent Oxygen,31,294,12,118,0.1054421768707483,0.1016949152542373,enriched,0.9104521545234623,0.9724334735979335,Connectivity,"[$([OX2])]
"
Leucine side chain,1,9,42,403,0.1111111111111111,0.10421836228287841,enriched,0.9466685098986464,0.9724334735979335,amino acid side chains,"[CH2X4][CHX4]([CH3X4])[CH3X4]
"
Enol,1,9,42,403,0.1111111111111111,0.10421836228287841,enriched,0.9466685098986464,0.9724334735979335,"hydroxyl (includes alcohol, phenol)","[OX2H][#6X3]=[#6]
"
Aromatic sp2 carbon.,40,384,3,28,0.10416666666666667,0.10714285714285714,depleted,0.9603386364178383,0.9724334735979335,Orbital Configuration,"[$([cX3](:*):*),$([cX2+](:*):*)]
"
Arene,40,384,3,28,0.10416666666666667,0.10714285714285714,depleted,0.9603386364178383,0.9724334735979335,"arene (Ar , aryl-, aromatic hydrocarbons)","c
"
Triply bonded N,1,10,42,402,0.1,0.1044776119402985,depleted,0.9635120655832736,0.9724334735979335,Connectivity,"[$([NX1]#*)]
"
Nitrile,1,10,42,402,0.1,0.1044776119402985,depleted,0.9635120655832736,0.9724334735979335,nitrile,"[NX1]#[CX2]
"
Alanine side chain,33,317,10,95,0.10410094637223975,0.10526315789473684,depleted,0.9740736474312696,0.9740736474312696,amino acid side chains,"[CH3X4]
"
