gene,coverage,RPKM,cohort,sample_id,subject_id
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413717,SRR413717
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413718,SRR413718
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413719,SRR413719
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413720,SRR413720
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413721,SRR413721
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413723,SRR413723
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413724,SRR413724
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413725,SRR413725
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413726,SRR413726
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413727,SRR413727
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413728,SRR413728
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413729,SRR413729
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413730,SRR413730
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413731,SRR413731
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413732,SRR413732
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413733,SRR413733
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413734,SRR413734
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413735,SRR413735
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413736,SRR413736
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413737,SRR413737
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413738,SRR413738
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413739,SRR413739
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413740,SRR413740
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413741,SRR413741
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413742,SRR413742
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413743,SRR413743
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413744,SRR413744
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413745,SRR413745
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413746,SRR413746
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413747,SRR413747
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413748,SRR413748
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413749,SRR413749
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413750,SRR413750
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413751,SRR413751
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413752,SRR413752
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413753,SRR413753
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413754,SRR413754
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413755,SRR413755
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413756,SRR413756
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413757,SRR413757
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413759,SRR413759
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413760,SRR413760
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413761,SRR413761
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413762,SRR413762
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413763,SRR413763
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413764,SRR413764
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413765,SRR413765
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413766,SRR413766
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413767,SRR413767
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413769,SRR413769
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413770,SRR413770
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413771,SRR413771
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413772,SRR413772
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413773,SRR413773
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413556,SRR413556
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413557,SRR413557
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413558,SRR413558
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413559,SRR413559
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413560,SRR413560
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413561,SRR413561
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413562,SRR413562
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413563,SRR413563
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413564,SRR413564
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413565,SRR413565
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413566,SRR413566
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413575,SRR413575
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413576,SRR413576
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413577,SRR413577
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413578,SRR413578
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413579,SRR413579
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413580,SRR413580
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413581,SRR413581
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413582,SRR413582
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413583,SRR413583
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413584,SRR413584
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413585,SRR413585
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413586,SRR413586
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413587,SRR413587
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413588,SRR413588
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413589,SRR413589
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413590,SRR413590
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413592,SRR413592
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413593,SRR413593
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413594,SRR413594
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413595,SRR413595
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413596,SRR413596
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413597,SRR413597
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413598,SRR413598
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413599,SRR413599
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413600,SRR413600
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413601,SRR413601
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413602,SRR413602
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413603,SRR413603
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413604,SRR413604
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0.254510921177588,0.0438350232469689,Chinese,SRR413605,SRR413605
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413606,SRR413606
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413607,SRR413607
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413608,SRR413608
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413609,SRR413609
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413610,SRR413610
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413611,SRR413611
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413612,SRR413612
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0.0845204178537512,0.0207698962649542,Chinese,SRR413613,SRR413613
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413614,SRR413614
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413616,SRR413616
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413617,SRR413617
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413618,SRR413618
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413619,SRR413619
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413620,SRR413620
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413621,SRR413621
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413622,SRR413622
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413623,SRR413623
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413624,SRR413624
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413625,SRR413625
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413627,SRR413627
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413628,SRR413628
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413629,SRR413629
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413630,SRR413630
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413635,SRR413635
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413636,SRR413636
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413637,SRR413637
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413638,SRR413638
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413639,SRR413639
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413640,SRR413640
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413641,SRR413641
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413642,SRR413642
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413643,SRR413643
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413644,SRR413644
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413645,SRR413645
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413646,SRR413646
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413647,SRR413647
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413648,SRR413648
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413649,SRR413649
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413650,SRR413650
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413651,SRR413651
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413652,SRR413652
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413653,SRR413653
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413654,SRR413654
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413655,SRR413655
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413656,SRR413656
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413657,SRR413657
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413658,SRR413658
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413659,SRR413659
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413660,SRR413660
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413661,SRR413661
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413662,SRR413662
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413663,SRR413663
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413664,SRR413664
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413665,SRR413665
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413666,SRR413666
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413667,SRR413667
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30365,G30365
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30366,G30366
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30372,G30372
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30373,G30373
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30374,G30374
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30380,G30380
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30381,G30381
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30382,G30382
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30388,G30388
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30389,G30389
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30395,G30395
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30401,G30401
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30402,G30402
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30408,G30408
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30409,G30409
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30414,G30414
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30415,G30415
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30460,G30460
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30461,G30461
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30462,G30462
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30463,G30463
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30464,G30464
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30465,G30465
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30467,G30467
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30468,G30468
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30469,G30469
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30470,G30470
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30471,G30471
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30472,G30472
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30473,G30473
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30474,G30474
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30475,G30475
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30476,G30476
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30477,G30477
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30478,G30478
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30479,G30479
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30480,G30480
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30481,G30481
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30482,G30482
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30483,G30483
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30484,G30484
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30485,G30485
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30486,G30486
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30487,G30487
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30488,G30488
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30489,G30489
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30490,G30490
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30491,G30491
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30492,G30492
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30493,G30493
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Fijicomp,G30494,G30494
